epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,2567.47,0.57609,1.10479,0.64145,1.04375,0,0.8096,0.84888,0.88436,0.68337,0.80645,0.84553,0.87583,0.67214,0.72733,1.24474,0.63594,1.11073,0,0.000459045,0.000459045,0.000459045
52,2616.85,0.576,1.08946,0.65559,1.0456,0,0.85674,0.82697,0.89947,0.69687,0.85764,0.82979,0.89568,0.68223,0.72406,1.21792,0.6158,1.11132,0,0.000450046,0.000450046,0.000450046
53,2666.37,0.56935,1.09802,0.61299,1.03456,0,0.89476,0.81777,0.90043,0.69104,0.89151,0.81463,0.89511,0.68139,0.73455,1.25521,0.62068,1.12494,0,0.000441047,0.000441047,0.000441047
54,2715.06,0.56195,1.07994,0.61786,1.03138,0,0.86484,0.82572,0.89681,0.68709,0.85893,0.82048,0.88563,0.66836,0.72783,1.25547,0.64404,1.12012,0,0.000432048,0.000432048,0.000432048
55,2765.1,0.55135,1.0823,0.61119,1.02741,0,0.87921,0.82296,0.90064,0.68643,0.87436,0.81674,0.89094,0.67443,0.7365,1.24618,0.64181,1.12838,0,0.000423049,0.000423049,0.000423049
56,2814.04,0.5496,1.07398,0.60667,1.02651,0,0.86442,0.84191,0.89734,0.70861,0.86265,0.84253,0.8891,0.68737,0.70781,1.22744,0.59446,1.11097,0,0.000414049,0.000414049,0.000414049
57,2864.1,0.55503,1.0536,0.62075,1.03316,0,0.85127,0.84082,0.9069,0.7029,0.84847,0.83638,0.89324,0.6706,0.71993,1.2549,0.62462,1.11091,0,0.00040505,0.00040505,0.00040505
58,2914.26,0.54252,1.04798,0.59308,1.02257,0,0.87561,0.84322,0.91143,0.7164,0.87075,0.84119,0.90129,0.70231,0.70834,1.21182,0.59838,1.10166,0,0.000396051,0.000396051,0.000396051
59,2963.75,0.54883,1.0376,0.59309,1.01825,0,0.86017,0.82618,0.91688,0.71733,0.86883,0.82206,0.91603,0.70912,0.7057,1.16664,0.58155,1.09028,0,0.000387052,0.000387052,0.000387052
60,3014.29,0.53958,1.03341,0.58612,1.01595,0,0.89102,0.83159,0.91444,0.70801,0.8928,0.83329,0.91036,0.69057,0.702,1.19345,0.60108,1.09256,0,0.000378053,0.000378053,0.000378053
61,3064.1,0.52793,1.02885,0.56691,1.01414,0,0.87896,0.8428,0.91568,0.72263,0.91893,0.80557,0.90982,0.70524,0.69617,1.18318,0.56156,1.08886,0,0.000369054,0.000369054,0.000369054
62,3113.89,0.53592,1.01838,0.57335,1.00753,0,0.91516,0.84243,0.92133,0.72264,0.90843,0.84494,0.91933,0.70498,0.6997,1.15639,0.56311,1.09805,0,0.000360055,0.000360055,0.000360055
63,3164,0.52573,1.00733,0.57294,1.01211,0,0.89651,0.84002,0.9193,0.72355,0.89346,0.8354,0.91259,0.71536,0.69656,1.16758,0.55809,1.08535,0,0.000351056,0.000351056,0.000351056
64,3213.44,0.53133,1.02872,0.57834,1.01105,0,0.87037,0.84505,0.89622,0.70697,0.86277,0.84167,0.88926,0.6955,0.69668,1.17515,0.61053,1.08224,0,0.000342057,0.000342057,0.000342057
65,3263.65,0.52477,0.99944,0.55698,1.00955,0,0.84451,0.85122,0.89888,0.70375,0.89338,0.81702,0.89205,0.69646,0.69882,1.16088,0.57907,1.10125,0,0.000333058,0.000333058,0.000333058
66,3313.36,0.53334,1.03134,0.56905,1.01315,0,0.8855,0.83066,0.89887,0.70428,0.88294,0.83006,0.89397,0.69954,0.70989,1.13867,0.5721,1.11104,0,0.000324058,0.000324058,0.000324058
67,3362.94,0.52503,1.03616,0.56407,1.0106,0,0.8924,0.83803,0.91572,0.72374,0.90075,0.84458,0.91955,0.71574,0.69672,1.1259,0.55706,1.0984,0,0.000315059,0.000315059,0.000315059
68,3412.88,0.51517,0.99337,0.54796,1.00375,0,0.89256,0.83448,0.9154,0.70664,0.89451,0.8233,0.90155,0.68689,0.69968,1.18864,0.56842,1.09007,0,0.00030606,0.00030606,0.00030606
69,3461.5,0.51606,0.9968,0.55188,1.00594,0,0.87117,0.85581,0.91702,0.72789,0.87031,0.8554,0.91306,0.7113,0.6825,1.15129,0.56341,1.07642,0,0.000297061,0.000297061,0.000297061
70,3510.77,0.50994,0.99571,0.53977,1.00542,0,0.90397,0.85316,0.91862,0.72629,0.89582,0.84747,0.90638,0.71061,0.67293,1.13764,0.54505,1.07704,0,0.000288062,0.000288062,0.000288062
71,3559.71,0.51836,1.00296,0.54859,1.00765,0,0.87753,0.84978,0.92023,0.72568,0.87554,0.84731,0.91231,0.71705,0.67987,1.11821,0.55958,1.07551,0,0.000279063,0.000279063,0.000279063
72,3610.49,0.51419,0.97762,0.53111,1.00361,0,0.92206,0.85284,0.93058,0.73682,0.92107,0.85195,0.92286,0.72492,0.67503,1.13729,0.53902,1.07282,0,0.000270064,0.000270064,0.000270064
73,3660.71,0.50822,0.96172,0.53467,0.99981,0,0.88579,0.86045,0.92296,0.73821,0.88746,0.86325,0.91727,0.72315,0.65899,1.12929,0.54961,1.05756,0,0.000261065,0.000261065,0.000261065
74,3709.77,0.50034,0.94553,0.51845,0.99647,0,0.91169,0.85265,0.92859,0.74156,0.91481,0.8521,0.91894,0.72374,0.65985,1.13084,0.5302,1.05735,0,0.000252066,0.000252066,0.000252066
75,3759.79,0.50111,0.96469,0.51981,0.99271,0,0.86991,0.88189,0.92772,0.73106,0.86349,0.86536,0.91276,0.71849,0.66974,1.13383,0.53461,1.07407,0,0.000243067,0.000243067,0.000243067
76,3809,0.50278,0.96629,0.52248,0.99181,0,0.87315,0.87322,0.92282,0.73378,0.87578,0.85727,0.91371,0.71788,0.67858,1.12808,0.54992,1.07826,0,0.000234068,0.000234068,0.000234068
77,3859.35,0.50051,0.9713,0.52539,0.99878,0,0.89971,0.84523,0.92213,0.73375,0.90161,0.84448,0.91376,0.71892,0.68215,1.11248,0.52406,1.07784,0,0.000225068,0.000225068,0.000225068
78,3909.49,0.50378,0.96349,0.50818,0.99642,0,0.87336,0.86844,0.92096,0.72785,0.87705,0.86304,0.91446,0.717,0.67995,1.11035,0.53878,1.09159,0,0.000216069,0.000216069,0.000216069
