epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,3288.09,0.77695,1.5641,0.86726,1.07519,0,0.72318,0.67421,0.72559,0.51562,0.73508,0.6861,0.73364,0.49015,0.8779,1.70023,0.95824,1.18656,0,0.000462065,0.000462065,0.000462065
61,3345.06,0.76171,1.52888,0.84305,1.06238,0,0.70554,0.67553,0.72259,0.51341,0.71156,0.67282,0.71928,0.48368,0.8717,1.77035,0.95808,1.18205,0,0.000451066,0.000451066,0.000451066
62,3399.92,0.76521,1.50403,0.85169,1.06498,0,0.73178,0.6493,0.71336,0.50525,0.73395,0.6521,0.70293,0.47801,0.88882,1.76425,0.95854,1.20719,0,0.000440067,0.000440067,0.000440067
63,3455.92,0.74808,1.50778,0.82023,1.06053,0,0.71812,0.69156,0.74409,0.52525,0.71815,0.69271,0.73185,0.49404,0.89171,1.78138,0.92533,1.20408,0,0.000429068,0.000429068,0.000429068
64,3511.7,0.7371,1.45692,0.81442,1.05681,0,0.73779,0.64617,0.71608,0.50989,0.73974,0.64931,0.71037,0.48078,0.89563,1.75086,0.97663,1.20568,0,0.000418069,0.000418069,0.000418069
65,3566.29,0.72951,1.47368,0.80436,1.05152,0,0.74166,0.6751,0.72837,0.51574,0.74385,0.67583,0.72913,0.49192,0.87922,1.71094,0.94344,1.19718,0,0.00040707,0.00040707,0.00040707
66,3622.09,0.74675,1.46126,0.80212,1.06033,0,0.70825,0.6756,0.72178,0.51634,0.71184,0.67635,0.72432,0.48732,0.87781,1.73836,0.94937,1.19136,0,0.000396071,0.000396071,0.000396071
67,3677.58,0.75012,1.50327,0.82471,1.06043,0,0.78949,0.64757,0.73238,0.52006,0.78862,0.64268,0.72775,0.49239,0.88302,1.73944,0.95859,1.1812,0,0.000385073,0.000385073,0.000385073
68,3732.16,0.74544,1.43359,0.77703,1.03651,0,0.74594,0.70604,0.74295,0.52199,0.75988,0.69838,0.73778,0.49534,0.89395,1.81111,0.92609,1.20008,0,0.000374074,0.000374074,0.000374074
69,3788.66,0.73461,1.45081,0.79611,1.05139,0,0.7407,0.67015,0.71894,0.50919,0.74366,0.67152,0.71289,0.47826,0.88933,1.75657,0.95508,1.20126,0,0.000363075,0.000363075,0.000363075
70,3845.56,0.73014,1.44646,0.79294,1.04586,0,0.73681,0.69074,0.74147,0.53079,0.73215,0.69149,0.73003,0.4972,0.85467,1.71469,0.92303,1.17469,0,0.000352076,0.000352076,0.000352076
71,3899.93,0.72883,1.44942,0.78676,1.04743,0,0.71983,0.68235,0.72568,0.52044,0.71828,0.67885,0.71812,0.48601,0.86071,1.73349,0.93296,1.17321,0,0.000341077,0.000341077,0.000341077
